Alexander Hamilton,John G. Adolfi,NA,Drama,NA,1931,/wiki/Alexander_Hamilton_(film)
Alice in Wonderland,Bud Pollard,NA,Fantasy,NA,1931,/wiki/Alice_in_Wonderland_(1931_film)
An American Tragedy,Josef von Sternberg,NA,Drama,NA,1931,/wiki/An_American_Tragedy_(film)
Annabelle's Affairs,Alfred L. Werker,NA,Comedy,NA,1931,/wiki/Annabelle%27s_Affairs
Are These Our Children?,Wesley Ruggles,NA,Drama,NA,1931,/wiki/Are_These_Our_Children%3F
Arizona Terror,Phil Rosen,NA,Western,NA,1931,/wiki/Arizona_Terror
Arrowsmith,John Ford,NA,Drama,NA,1931,/wiki/Arrowsmith_(film)
Bachelor Apartment,Lowell Sherman,NA,Comedy,NA,1931,/wiki/Bachelor_Apartment
The Bachelor Father,Robert Z. Leonard,NA,Comedy,[1],1931,/w/index.php?title=The_Bachelor_Father_(1931_film)&action=edit&redlink=1
Bad Girl,Frank Borzage,NA,Drama,NA,1931,/wiki/Bad_Girl_(1931_film)
Bad Sister,Hobart Henley,NA,Drama,NA,1931,/wiki/Bad_Sister_(1931_film)
The Bargain,Robert Milton,NA,Drama,NA,1931,/wiki/The_Bargain_(1931_film)
Behind Office Doors,Melville W. Brown,NA,Drama,NA,1931,/wiki/Behind_Office_Doors
Big Business Girl,William A. Seiter,NA,Romance,NA,1931,/wiki/Big_Business_Girl
The Big Gamble,Fred Niblo,NA,Drama,NA,1931,/wiki/The_Big_Gamble_(1931_film)
The Black Camel,Hamilton MacFadden,NA,"Drama, Crime",NA,1931,/wiki/The_Black_Camel_(film)
Blonde Crazy,Roy Del Ruth,NA,Comedy,NA,1931,/wiki/Blonde_Crazy
Border Law,Louis King,NA,Western,NA,1931,/wiki/Border_Law
Born to Love,Paul L. Stein,NA,Drama,NA,1931,/wiki/Born_to_Love_(film)
Branded Men,Phil Rosen,NA,Western,NA,1931,/wiki/Branded_Men
The Brat,John Ford,NA,Comedy,NA,1931,/wiki/The_Brat
Broadminded,Mervyn LeRoy,NA,Comedy,NA,1931,/wiki/Broadminded_(film)
Captain Applejack,Hobart Henley,NA,Drama,NA,1931,/wiki/Captain_Applejack
Caught Plastered,William A. Seiter,NA,Comedy,NA,1931,/wiki/Caught_Plastered
The Champ,King Vidor,NA,Drama,NA,1931,/wiki/The_Champ_(1931_film)
Chances,Allan Dwan,NA,Drama,NA,1931,/wiki/Chances_(film)
Charlie Chan Carries On,Hamilton MacFadden,NA,Mystery,Fox,1931,/wiki/Charlie_Chan_Carries_On_(film)
Chinatown After Dark,Stuart Paton,NA,"Crime, Drama",NA,1931,/wiki/Chinatown_After_Dark
Cimarron,Wesley Ruggles,NA,"Drama, Western",NA,1931,/wiki/Cimarron_(1931_film)
City Lights,Charles Chaplin,NA,"Comedy, Drama",NA,1931,/wiki/City_Lights
City Streets,Rouben Mamoulian,NA,"Drama, Crime",NA,1931,/wiki/City_Streets_(film)
Clearing the Range,Otto Brower,NA,Western,NA,1931,/wiki/Clearing_the_Range
The Common Law,Paul L. Stein,NA,Drama,NA,1931,/wiki/The_Common_Law_(film)
A Connecticut Yankee,David Butler,NA,Comedy,NA,1931,/wiki/A_Connecticut_Yankee_(film)
Cracked Nuts,Edward F. Cline,NA,Comedy,NA,1931,/wiki/Cracked_Nuts
The Criminal Code,Howard Hawks,NA,"Drama, Crime",NA,1931,/wiki/The_Criminal_Code
The Cuban Love Song,W. S. Van Dyke,NA,Musical,NA,1931,/wiki/The_Cuban_Love_Song
Daddy Long Legs,Alfred Santell,NA,Comedy,NA,1931,/wiki/Daddy_Long_Legs_(1931_film)
Daughter of the Dragon,Lloyd Corrigan,NA,Drama,NA,1931,/wiki/Daughter_of_the_Dragon
Demon of the Sea,Michael Curtiz,NA,Drama,Lost film,1931,/wiki/Demon_of_the_Sea
Dirigible,Frank Capra,NA,Adventure,NA,1931,/wiki/Dirigible_(film)
Dishonored,Josef von Sternberg,NA,"Drama, War",NA,1931,/wiki/Dishonored_(film)
Don't Bet on Women,William K. Howard,NA,Comedy,NA,1931,/wiki/Don%27t_Bet_on_Women
Dr. Jekyll and Mr. Hyde,Rouben Mamoulian,NA,"Drama, Horror",NA,1931,/wiki/Dr._Jekyll_and_Mr._Hyde_(1931_film)
Dracula,Tod Browning,NA,Horror,NA,1931,/wiki/Dracula_(1931_English-language_film)
The Drums of Jeopardy,George B. Seitz,NA,"Drama, Thriller",NA,1931,/wiki/The_Drums_of_Jeopardy_(1931_film)
The Easiest Way,Jack Conway,NA,Drama,NA,1931,/wiki/The_Easiest_Way
El codigo penal,Phil Rosen,NA,Prison drama,NA,1931,/w/index.php?title=El_codigo_penal&action=edit&redlink=1
El Impostor,Lewis Seiler,NA,Drama,NA,1931,/w/index.php?title=El_Impostor&action=edit&redlink=1
Eran Trece,David Howard,NA,Comedy. Mystery,NA,1931,/w/index.php?title=Eran_Trece&action=edit&redlink=1
Everything's Rosie,Clyde Bruckman,NA,Comedy,NA,1931,/wiki/Everything%27s_Rosie
Expensive Women,Hobart Henley,NA,Drama,NA,1931,/wiki/Expensive_Women
Fair Warning,Alfred L. Werker,NA,Western,NA,1931,/wiki/Fair_Warning_(film)
Fifty Million Frenchmen,Lloyd Bacon,NA,Musical comedy,NA,1931,/wiki/Fifty_Million_Frenchmen_(film)
The Finger Points,John Francis Dillon,NA,"Drama, Crime",NA,1931,/wiki/The_Finger_Points
Finn and Hattie,Norman Taurog,NA,Comedy,NA,1931,/wiki/Finn_and_Hattie
Five and Ten,Robert Z. Leonard,NA,Drama,NA,1931,/wiki/Five_and_Ten
Five Star Final,Mervyn LeRoy,NA,Drama,NA,1931,/wiki/Five_Star_Final
Flying High,Charles Reisner,NA,Comedy,NA,1931,/wiki/Flying_High_(1931_film)
Forbidden Adventure,Norman Taurog,NA,Comedy,Aka Newly Rich,1931,/wiki/Forbidden_Adventure
Frankenstein,James Whale,NA,NA,NA,1931,/wiki/Frankenstein_(1931_film)
A Free Soul,Clarence Brown,NA,Drama,NA,1931,/wiki/A_Free_Soul
The Front Page,Lewis Milestone,NA,Comedy,NA,1931,/wiki/The_Front_Page_(1931_film)
The Gang Buster,A. Edward Sutherland,NA,Comedy,NA,1931,/wiki/The_Gang_Buster
Gentleman's Fate,Mervyn LeRoy,NA,Drama,NA,1931,/wiki/Gentleman%27s_Fate
The Girl Habit,Edward F. Cline,NA,Comedy,NA,1931,/wiki/The_Girl_Habit
Girls About Town,George Cukor,NA,Comedy,NA,1931,/wiki/Girls_About_Town_(film)
God's Gift to Women,Michael Curtiz,NA,Musical comedy,NA,1931,/wiki/God%27s_Gift_to_Women
Gold Dust Gertie,Lloyd Bacon,NA,Musical comedy,NA,1931,/wiki/Gold_Dust_Gertie
Goldie,Benjamin Stoloff,NA,Comedy,NA,1931,/wiki/Goldie_(1931_film)
Graft,Christy Cabanne,NA,"Drama, Thriller",NA,1931,/wiki/Graft_(1931_film)
The Great Lover,Harry Beaumont,NA,Drama,NA,1931,/wiki/The_Great_Lover_(1931_film)
Grief Street,Richard Thorpe,NA,Romantic crime/mystery,NA,1931,/wiki/Grief_Street
The Guardsman,Sidney Franklin,NA,Comedy drama,NA,1931,/wiki/The_Guardsman
The Guilty Generation,Rowland V. Lee,NA,Drama,NA,1931,/wiki/The_Guilty_Generation
Guilty Hands,W. S. Van Dyke,NA,"Drama, Crime",NA,1931,/wiki/Guilty_Hands
Hard Hombre,Otto Brower,NA,Western,NA,1931,/wiki/Hard_Hombre
Hell Divers,George W. Hill,NA,"Drama, Adventure",NA,1931,/wiki/Hell_Divers
Honor Among Lovers,Dorothy Arzner,NA,Drama,NA,1931,/wiki/Honor_Among_Lovers
Honor of the Family,Lloyd Bacon,NA,Drama,NA,1931,/wiki/Honor_of_the_Family
